name,institution,homepage,act,ai,arch,bed,bio,chi,comm,crypt,da,ecom,graph,hpc,ir,log,metrics,mlmining,mobile,mod,nlp,ops,plan,robotics,sec,soft,vision,visualization
A. Aldo Faisal,Imperial College London,https://www.imperial.ac.uk/people/a.faisal,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0
A. David Marshall,Cardiff University,https://www.cardiff.ac.uk/people/view/118142-marshall-david,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
A. W. Roscoe 0001,University of Oxford,http://www.cs.ox.ac.uk/bill.roscoe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Abbas Edalat,Imperial College London,https://www.doc.ic.ac.uk/~ae,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,1,0,0,0,0,0
Abhijeet Ghosh,Imperial College London,http://www.doc.ic.ac.uk/~ghosh,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0
Abhir Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Achim Jung,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/jung-achim.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Adam Lopez,University of Edinburgh,http://alopez.github.io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
Adam Prügel-Bennett,University of Southampton,https://www.ecs.soton.ac.uk/people/apb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Aditya Gilra,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/aditya-gilra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adrian Friday,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/adrian-friday,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Adrian G. Bors,University of York,https://www-users.cs.york.ac.uk/~adrian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Adrian Hilton,University of Surrey,https://www.surrey.ac.uk/people/adrian-hilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
Adriane Chapman,University of Southampton,https://www.ecs.soton.ac.uk/people/ac1n16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Agathoniki Trigoni,University of Oxford,https://www.cs.ox.ac.uk/niki.trigoni,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,18,0,0,6,0
Aggelos Kiayias,University of Edinburgh,http://www.cse.uconn.edu/~akiayias/Home_of_Aggelos_Kiayias/Home_of_Aggelos_Kiayias.html,2,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0
Aikaterini Bourazeri,University of Essex,https://www.essex.ac.uk/people/boura96709/katerina-bourazeri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aisling Ann O'Kane,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/aisling-a-okane,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajitha Rajan,University of Edinburgh,http://homepages.inf.ed.ac.uk/arajan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Alan Bundy,University of Edinburgh,https://sweb.inf.ed.ac.uk/bundy,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Alan Burns 0001,University of York,https://www-users.cs.york.ac.uk/~burns,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Dearle,University of St Andrews,https://al.host.cs.st-andrews.ac.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Alan F. Blackwell,University of Cambridge,http://www.cl.cam.ac.uk/~afb21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alan Marshall 0001,University of Liverpool,https://liverpool.ac.uk/electrical-engineering-and-electronics/staff/alan-marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
